周期天数,数量,占比
7,1,0.003134796238244514
11,2,0.006269592476489028
12,3,0.009404388714733543
13,10,0.03134796238244514
14,128,0.4012539184952978
15,28,0.0877742946708464
16,3,0.009404388714733543
17,12,0.03761755485893417
18,4,0.012539184952978056
19,3,0.009404388714733543
20,4,0.012539184952978056
21,2,0.006269592476489028
22,1,0.003134796238244514
23,1,0.003134796238244514
24,1,0.003134796238244514
26,1,0.003134796238244514
27,1,0.003134796238244514
28,25,0.07836990595611286
29,11,0.034482758620689655
30,6,0.018808777429467086
31,4,0.012539184952978056
32,5,0.01567398119122257
33,6,0.018808777429467086
34,6,0.018808777429467086
35,2,0.006269592476489028
36,2,0.006269592476489028
38,3,0.009404388714733543
39,1,0.003134796238244514
41,1,0.003134796238244514
42,6,0.018808777429467086
43,2,0.006269592476489028
46,1,0.003134796238244514
48,5,0.01567398119122257
51,1,0.003134796238244514
52,1,0.003134796238244514
57,2,0.006269592476489028
59,1,0.003134796238244514
60,1,0.003134796238244514
62,1,0.003134796238244514
66,1,0.003134796238244514
70,1,0.003134796238244514
98,1,0.003134796238244514
99,1,0.003134796238244514
101,1,0.003134796238244514
103,1,0.003134796238244514
104,1,0.003134796238244514
113,1,0.003134796238244514
116,1,0.003134796238244514
122,1,0.003134796238244514
147,1,0.003134796238244514
155,1,0.003134796238244514
158,1,0.003134796238244514
160,1,0.003134796238244514
182,1,0.003134796238244514
185,1,0.003134796238244514
210,1,0.003134796238244514
232,1,0.003134796238244514
235,1,0.003134796238244514
246,1,0.003134796238244514
291,1,0.003134796238244514
