分组类型,分组,样本数,残差均值_USD_per_bbl,残差中位数_USD_per_bbl,MAE_USD_per_bbl,RMSE_USD_per_bbl,平均国际变动_USD_per_bbl,平均国内调价_USD_per_bbl,平均433均价_USD_per_bbl
方向,国际上涨,78,0.24559554175783577,0.4077141233020803,1.382244854026409,1.8253405561002747,2.2448410103560406,3.3957206857453466,63.388927478561456
方向,国际下跌,54,-0.3547491158724294,-0.38990131438695896,1.828752440241091,2.3951810879754776,-2.5084948004859546,-3.63903644097932,62.53832977094689
窗口类型,单窗口,102,0.04579162270273655,0.04434842527852778,1.4652644068219982,1.9580528238932389,0.5389005071129874,0.886649068716287,64.18261311580576
窗口类型,多窗口,30,-0.1556915171893045,0.10728622242076469,1.9036920297078332,2.4400333298043124,-0.5109657381331698,-0.7359986444602532,59.15932043822458
推断调价窗口数,1,102,0.04579162270273655,0.04434842527852778,1.4652644068219982,1.9580528238932389,0.5389005071129874,0.886649068716287,64.18261311580576
推断调价窗口数,2,22,-0.11172306448739264,0.10728622242076469,1.9921785116608992,2.5567474654634252,-0.4113539731768066,-0.5571894803064424,59.0523947136162
推断调价窗口数,3,7,-0.5891442646059545,-0.13442378868836502,1.6245231256300043,2.1094086778423913,-0.8212499733529169,-1.5894715275272198,57.41351237000548
推断调价窗口数,4,1,1.9111717552851863,1.9111717552851863,1.9111717552851863,1.9111717552851863,-0.5304349206349315,1.304509925624671,73.73234285714285
433价格区间,"(39.999, 50.0]",22,-0.4118520608170553,-0.3620441209375782,1.8886245378683368,2.4441658180058363,-0.4589590927214738,-0.9217597420927267,45.7781637748963
433价格区间,"(50.0, 60.0]",23,0.2868389112435898,0.2091054424439578,0.9662647111555489,1.2439487247403938,0.5699330307818308,1.1697039210372602,54.70726626791507
433价格区间,"(60.0, 70.0]",48,-0.22396682432224813,0.022886725685920428,1.410645257982338,1.9975387126453796,-0.004507600559163993,-0.11870055952450964,65.01088809924146
433价格区间,"(70.0, 80.0]",39,0.33881687043180914,0.7290933240523518,1.9252033285703993,2.3267285598123464,0.9447149933399951,1.7290101711439274,75.26914858937359
国际变动幅度区间,"(-0.001, 2.0]",70,0.5442635918734021,0.5254851763689874,1.4329662657032354,1.854602154449145,0.17297914846717097,0.8897870142717482,64.27363267204676
国际变动幅度区间,"(2.0, 4.0]",41,-0.6613760655955256,-0.02070912061414365,1.7348794566142862,2.4036445735741303,0.9487780077027257,0.7343171853237781,62.6569834224291
国际变动幅度区间,"(4.0, 8.0]",18,-0.18715624072709958,-0.804839484840139,1.4454849703308228,1.6559351944743566,-0.2782397045855372,-0.4524308620416659,59.01177402694155
国际变动幅度区间,"(8.0, 100.0]",3,-2.5377401362112675,-2.290535539870641,3.037101533570595,3.771537505056991,-2.12041481481481,-5.296698135097871,63.701203703703705
