调整日期,上次调整日期,汽油涨跌,delta_p_i_国际433价格变动_USD_per_bbl,delta_p_i_prime_国内调价幅度_USD_per_bbl,线性拟合_delta_p_i_prime_USD_per_bbl,残差_epsilon_USD_per_bbl,残差绝对值_USD_per_bbl,p_i_布伦特迪拜米纳斯433均价_USD_per_bbl,p_prev_上一窗口433均价_USD_per_bbl,周期天数,推断调价窗口数,推断类型
2020-03-18,2020-02-19,↓1015,-10.11205555555555,-19.64866940178726,-13.576942436985107,-6.071726964802153,6.071726964802153,44.82150000000001,54.93355555555556,28.0,2,疑似跨多窗口
2021-12-04,2021-11-20,↓430,-2.5621888888889117,-9.200023312431165,-3.3569709994117036,-5.843052313019461,5.843052313019461,77.3781111111111,79.94030000000001,14.0,1,标准单窗口
2019-04-13,2019-03-29,↓50,3.446499999999986,-1.0174336855037596,4.77676586415888,-5.79419954966264,5.79419954966264,68.5446,65.09810000000002,15.0,1,标准单窗口
2025-07-16,2025-07-02,↓130,2.053999999999988,-2.4702398800542724,2.891790823519619,-5.362030703573891,5.362030703573891,70.40388888888887,68.34988888888888,14.0,1,标准单窗口
2025-07-02,2025-06-18,↑235,-0.6559111111111093,4.474033225198806,-0.7765142441970276,5.250547469395833,5.250547469395833,68.34988888888888,69.0058,14.0,1,标准单窗口
2025-06-04,2025-05-20,↑65,-2.80901111111109,1.2341573124504295,-3.691084987464791,4.925242299915221,4.925242299915221,65.4701,68.27911111111109,15.0,1,标准单窗口
2020-09-19,2020-08-22,↓315,-1.4533222222222264,-6.348378580780265,-1.8559397677682146,-4.4924388130120505,4.4924388130120505,41.96761111111111,43.42093333333334,28.0,2,疑似跨多窗口
2016-11-17,2016-10-20,↓365,-2.262568181818189,-7.239486723168116,-2.9513856820063173,-4.288101041161799,4.288101041161799,44.71375,46.976318181818186,28.0,2,疑似跨多窗口
2018-07-10,2018-06-26,↑270,0.9144747474747277,5.555879419884702,1.3492582136896236,4.206621206195079,4.206621206195079,75.6681111111111,74.75363636363637,14.0,1,标准单窗口
2024-10-24,2024-10-11,↑90,-1.7866161616161378,1.7245057264799406,-2.3071072772503385,4.031613003730279,4.031613003730279,74.54911111111113,76.33572727272727,13.0,1,标准单窗口
2020-02-05,2019-12-31,↓420,-3.2128947368420953,-8.216291285836675,-4.237807108704169,-3.978484177132506,3.978484177132506,62.651,65.8638947368421,36.0,3,多窗口但偏离较大
2016-10-20,2016-09-19,↑355,2.5475404040404115,7.179871475042099,3.5598779640318026,3.6199935110102968,3.6199935110102968,46.976318181818186,44.428777777777775,31.0,2,疑似跨多窗口
2017-01-13,2016-12-29,↑240,0.8128499999999974,4.744896098143431,1.2116926032758824,3.5332034948675486,3.5332034948675486,53.7621,52.94925,15.0,1,标准单窗口
2018-04-13,2018-03-29,↑55,3.325799999999994,1.1957626519841507,4.613378799595042,-3.4176161476108913,3.4176161476108913,66.88,63.5542,15.0,1,标准单窗口
2018-07-24,2018-07-10,↓125,-4.423111111111112,-2.510963116061034,-5.876031639598274,3.36506852353724,3.36506852353724,71.24499999999999,75.6681111111111,14.0,1,标准单窗口
2020-10-23,2020-09-19,↑80,-1.1380111111111049,1.6321785968993014,-1.4291149386976958,3.061293535596997,3.061293535596997,40.829600000000006,41.96761111111111,34.0,2,多窗口但偏离较大
2021-06-12,2021-05-15,↑175,0.4406142857142754,3.731146702270761,0.7078110731766983,3.0233356290940625,3.0233356290940625,67.64871428571429,67.20810000000002,28.0,2,疑似跨多窗口
